,IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
131,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,86.08,96,7090,-373508113925093038,9.95,24,48,CA,ON
132,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,91.53,96,1790,1788801474825896666,9.98,96,120,US,NY
133,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,111.97,91,10606,-1177408302343430963,5.0,24,48,,
134,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,112.52,91,10606,-1177408302343430963,5.0,24,48,,
135,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,114.17,91,10606,-1177408302343430963,5.0,24,48,,
136,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,79.44,88,8452,-6639690782514669126,61.07,24,48,,
137,1,-5924928993300787167,2016-02-04T04:30:08.154Z,1,1,44.99,0,0,1207135739277432339,0.0,0,0,,
138,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,49.38,96,35264,6791568714796518563,0.0,96,120,CA,QC
139,0,-5924928993300787167,2016-02-04T04:30:08.154Z,0,0,43.32,98,3293,4143506568603310959,13.09,96,120,US,NY
140,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,53.54,96,1790,1788801474825896666,9.98,96,120,US,NY
141,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,55.45,96,1790,1788801474825896666,9.98,96,120,US,NY
142,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,69.22,91,10606,-1177408302343430963,5.0,24,48,,
143,0,-5924928993300787167,2016-02-04T04:30:08.154Z,0,0,75.26,71,7,-5203594887869139290,0.0,48,72,,
144,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,64.57,96,41419,9012427554787096099,12.3,24,48,,
145,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,76.87,95,5535,-8852182251270724705,0.0,24,48,,
146,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,60.45,88,8452,-6639690782514669126,26.66,96,120,,
147,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,64.57,96,41419,9012427554787096099,24.3,24,48,,
148,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,92.74,99,79,-1869213145998141353,0.0,24,48,,
149,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,113.84,91,11930,-1888136325356517677,7.5,72,96,,
150,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,112.16,96,1289,403962612376694152,9.54,24,48,,
151,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,126.45,96,1326,8648764257939339698,0.0,24,48,,
152,0,-5924928993300787167,2016-02-04T04:30:08.154Z,1,0,2999.0,95,4384,-2572277640783537773,12.12,24,48,CA,ON
153,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,7.46,96,35264,6791568714796518563,0.0,96,120,CA,QC
154,1,6992992079703403252,2016-02-04T04:30:14.727Z,1,1,7.59,0,0,1207135739277432339,0.0,0,0,,
155,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,3.94,95,2283,8118683026995803963,8.07,144,240,CA,BC
156,0,6992992079703403252,2016-02-04T04:30:14.727Z,0,0,5.27,98,3293,4143506568603310959,7.99,48,72,US,NY
157,0,6992992079703403252,2016-02-04T04:30:14.727Z,1,0,9.76,95,10182,7102261811958052132,5.03,96,120,CA,BC
158,0,6992992079703403252,2016-02-04T04:30:14.727Z,0,0,10.17,0,0,5454313351608459239,5.54,24,48,,
